[2025-10-10 00:33:59] [SYSTEM_START] Bluetooth Proximity Lock system started | RSSI: N/A
[2025-10-10 00:33:59] [INFO] Diagnostic test started | RSSI: N/A
[2025-10-10 00:33:59] [PHONE_DETECTED] Target device detected in range | RSSI: -65 dBm
[2025-10-10 00:33:59] [SYSTEM_LOCKED] System locked (device out of range) | RSSI: -85 dBm
[2025-10-10 00:33:59] [WARNING] Low RSSI detected | RSSI: N/A
[2025-10-10 00:33:59] [ERROR] Bluetooth scan failure | RSSI: N/A
[2025-10-10 00:33:59] [SYSTEM_UNLOCKED] System unlocked (device nearby) | RSSI: -60 dBm
[2025-10-10 00:34:30] [SYSTEM_STOP] Bluetooth Proximity Lock system stopped | RSSI: N/A
[2025-10-10 00:34:30] [SYSTEM_STOP] Bluetooth Proximity Lock system stopped | RSSI: N/A
[2025-10-10 01:55:01] [SYSTEM_START] Bluetooth Proximity Lock system started | RSSI: N/A
[2025-10-10 01:55:01] [SYSTEM_STOP] Bluetooth Proximity Lock system stopped | RSSI: N/A
[2025-10-10 02:23:37] [SYSTEM_START] Bluetooth Proximity Lock system started | RSSI: N/A
[2025-10-10 02:23:40] [INFO] phone RSSI: N/A | RSSI: N/A
[2025-10-10 02:23:49] [INFO] phone RSSI: N/A | RSSI: N/A
[2025-10-10 02:23:49] [PHONE_NOT_DETECTED] Target device not detected | RSSI: N/A
[2025-10-10 02:23:49] [SYSTEM_LOCKED] System locked (device out of range) | RSSI: N/A
[2025-10-10 02:23:57] [INFO] phone RSSI: N/A | RSSI: N/A
[2025-10-10 02:24:05] [INFO] phone RSSI: N/A | RSSI: N/A
[2025-10-10 02:24:18] [SYSTEM_START] Bluetooth Proximity Lock system started | RSSI: N/A
[2025-10-10 02:24:21] [INFO] phone RSSI: N/A | RSSI: N/A
[2025-10-10 02:24:29] [INFO] phone RSSI: N/A | RSSI: N/A
[2025-10-10 02:24:29] [PHONE_NOT_DETECTED] Target device not detected | RSSI: N/A
[2025-10-10 02:24:29] [SYSTEM_LOCKED] System locked (device out of range) | RSSI: N/A
